logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.0 3.0 0.02 8.67 25.03 7.255 0.116 27.935 100.0 836.531 280.888 10.255 0.002 98.124 24.989 9.027 0.267 0.101 16.094 0.027 0.086 31.505
-4.0 3.0 0.04 8.971 7.914 0.0 0.001 0.084 100.0 0.43 286.016 237.914 2.444 19.718 15.946 9.376 3.866 10.985 16.834 2.906 9.291 33.703
-3.5 3.0 0.04 8.971 10.119 0.0 0.001 0.219 100.0 3.165 285.83 254.713 0.795 41.182 18.892 9.353 3.481 7.619 16.787 2.016 6.444 33.563
-3.0 3.0 0.04 8.971 12.801 0.014 0.002 0.554 100.0 19.225 285.608 252.091 0.245 74.004 20.475 9.336 2.971 4.099 16.744 1.084 3.467 33.445
-2.5 3.0 0.04 8.971 15.512 0.223 0.003 1.228 100.0 77.598 285.29 212.605 0.078 108.16 22.187 9.323 2.192 1.862 16.707 0.493 1.575 33.313
-2.0 3.0 0.04 8.971 20.539 1.393 0.004 2.257 100.0 188.753 284.903 145.31 0.028 130.502 24.088 9.32 1.386 0.868 16.695 0.23 0.734 33.208
-1.5 3.0 0.04 8.971 29.793 4.028 0.009 4.3 100.0 348.791 284.846 80.727 0.01 143.113 25.363 9.326 0.857 0.451 16.703 0.119 0.382 33.07
-1.0 3.0 0.04 8.971 47.183 10.706 0.02 7.937 100.0 585.123 285.196 45.723 0.005 152.161 28.501 9.33 0.585 0.291 16.709 0.077 0.246 32.746
-4.0 4.0 0.002 7.67 3.698 0.0 0.565 3.254 100.0 3.527 281.892 9.222 0.456 7.592 81.766 8.637 0.482 0.505 15.405 0.133 0.427 30.213
-3.5 4.0 0.002 7.67 4.733 0.015 0.834 11.648 100.0 32.88 281.105 9.194 0.114 15.323 93.322 8.53 0.423 0.242 15.207 0.064 0.205 29.715
-3.0 4.0 0.002 7.67 5.179 0.306 0.947 27.354 100.0 142.134 279.86 5.727 0.022 23.312 100.352 8.464 0.323 0.103 15.063 0.027 0.087 29.347
-2.5 4.0 0.002 7.67 5.088 1.58 1.03 45.665 100.0 267.594 278.637 2.436 0.004 27.432 100.776 8.425 0.189 0.042 14.961 0.011 0.036 29.089
-2.0 4.0 0.002 7.67 4.84 4.754 1.17 63.35 100.0 356.352 277.767 0.918 0.001 25.483 90.026 8.394 0.084 0.018 14.878 0.005 0.015 28.88
-1.5 4.0 0.002 7.67 4.594 7.739 1.482 73.659 100.0 420.886 277.36 0.357 0.0 17.801 66.894 8.375 0.031 0.008 14.825 0.002 0.007 28.742
-1.0 4.0 0.002 7.67 4.291 10.544 2.235 70.962 100.0 476.083 277.266 0.16 0.0 9.775 43.403 8.363 0.012 0.005 14.793 0.001 0.004 28.67
-4.0 4.0 0.003 7.846 4.507 0.0 0.483 4.342 100.0 4.732 281.659 15.382 0.646 11.046 80.199 8.674 0.711 0.745 15.461 0.197 0.63 30.328
-3.5 4.0 0.003 7.846 5.811 0.019 0.712 15.14 100.0 43.687 280.825 15.349 0.162 22.178 91.468 8.578 0.624 0.358 15.278 0.095 0.303 29.865
-3.0 4.0 0.003 7.846 6.261 0.358 0.808 33.169 100.0 187.083 279.639 9.626 0.032 33.173 97.096 8.528 0.474 0.153 15.161 0.04 0.129 29.565
-2.5 4.0 0.003 7.846 6.086 1.557 0.885 51.485 100.0 347.414 278.615 4.124 0.005 38.412 95.196 8.506 0.277 0.062 15.092 0.016 0.053 29.387
-2.0 4.0 0.003 7.846 5.826 4.107 1.022 68.812 100.0 456.138 277.958 1.574 0.001 35.746 81.913 8.487 0.125 0.027 15.035 0.007 0.023 29.236
-1.5 4.0 0.003 7.846 5.628 6.293 1.336 81.169 100.0 536.037 277.499 0.634 0.0 25.712 59.237 8.469 0.048 0.013 14.986 0.003 0.011 29.104
-1.0 4.0 0.003 7.846 5.436 9.248 2.114 83.522 100.0 610.426 277.368 0.301 0.0 14.962 38.886 8.45 0.02 0.007 14.943 0.002 0.006 28.999
-4.0 4.0 0.004 7.971 5.112 0.0 0.197 5.066 100.0 5.383 281.385 22.397 0.822 14.248 78.317 8.711 0.928 0.971 15.517 0.257 0.821 30.445
-3.5 4.0 0.004 7.971 6.62 0.018 0.279 17.247 100.0 49.438 280.545 22.428 0.208 28.469 89.394 8.624 0.815 0.468 15.348 0.124 0.396 30.014
-3.0 4.0 0.004 7.971 7.072 0.344 0.322 35.647 100.0 213.76 279.486 14.252 0.041 41.993 93.867 8.587 0.618 0.199 15.254 0.053 0.168 29.772
-2.5 4.0 0.004 7.971 6.873 1.382 0.371 52.056 100.0 398.675 278.676 6.172 0.007 48.102 89.991 8.577 0.362 0.081 15.212 0.021 0.068 29.661
-2.0 4.0 0.004 7.971 6.676 3.229 0.46 67.987 100.0 522.398 278.18 2.38 0.001 45.299 75.235 8.567 0.167 0.035 15.174 0.009 0.029 29.553
-1.5 4.0 0.004 7.971 6.64 5.005 0.655 82.693 100.0 615.545 277.683 0.982 0.0 33.947 53.738 8.548 0.068 0.017 15.126 0.005 0.015 29.421
-1.0 4.0 0.004 7.971 6.713 7.523 1.121 92.1 100.0 708.152 277.528 0.485 0.0 20.989 35.84 8.525 0.029 0.01 15.076 0.003 0.009 29.288
-4.0 4.0 0.006 8.147 6.02 0.0 0.127 6.061 100.0 6.687 281.087 38.872 1.16 20.063 75.492 8.759 1.344 1.433 15.598 0.379 1.212 30.613
